name,link,category,reviews amount,total score
Теоретическая информатика: сложность вычислений,https://stepik.org/course/1613,Математический анализ,8,49.81497446055041
Педагогическая деятельность в условиях инклюзивного образования,https://stepik.org/course/195826,Инклюзивное обучение,1,49.75392524671079
Экология | ЕГЭ 2022,https://stepik.org/course/73434,Биология и медицина,18,49.739578526654455
Оптимизация бизнес-процессов. Реинжиниринг,https://stepik.org/course/94097,Курсы по маркетингу с промо-уроками,10,49.727691058498785
CV writing (пошаговое составление CV на Английском),https://stepik.org/course/74530,Большая осенняя распродажа 2022,1,49.71806582163348
Язык программирования PHP,https://stepik.org/course/113652,Веб-разработка,10,49.69543334297665
Основы проектной деятельности,https://stepik.org/course/103046,Управление проектами,5,49.675574001228284
Разработка Android-приложений на Kotlin,https://stepik.org/course/4792,Информатика,166,49.661489635253204
Игровые разработки с T-Boom на Unreal Engine,https://stepik.org/course/108791,Unreal Engine,9,49.659469400104044
Введение в фотографии,https://stepik.org/course/185156,Фотография,11,49.65083296669279
Система закупок Московской области. МВК/РГ.,https://stepik.org/course/122047,Право,2,49.64634442361691
Программирование от 0 к 1: Современный язык C++,https://stepik.org/course/174369,C/C++,11,49.62609681937506
Введение в физику жидких кристаллов,https://stepik.org/course/46411,Физика,1,49.58689262092216
Основы Git,https://stepik.org/course/3145,Информатика,530,49.55042932304882
Оказание первой помощи ,https://stepik.org/course/59036,Биология и медицина,10,49.512072400135025
Создание документов Word на Python,https://stepik.org/course/183057,Цифровая грамотность,3,49.49239631794359
Основы Google Рекламы,https://stepik.org/course/4307,Онлайн-маркетинг,59,49.47942292304582
PowerPoint,https://stepik.org/course/14553,Цифровая грамотность,43,49.467007952694445
Практическая бухгалтерия для предпринимательства,https://stepik.org/course/208941,Бухгалтерский учёт,3,49.44803819848246
Кадровый учет и управление персоналом в программе 1С Предприятие,https://stepik.org/course/110842,Курсы по 1С с промо-уроками,1,49.4305534851098
"Английский ЕГЭ 2022. Confusing words,phrasal verbs,collocations",https://stepik.org/course/100315,ЕГЭ и ОГЭ по английскому языку,1,49.41756520868984
Введение в блокчейн-технологии на базе платформы Ethereum,https://stepik.org/course/4962,Информатика,2,49.4039977332427
Программирование на Swift  ,https://stepik.org/course/172515,Swift,3,49.39589594766264
Продвинутый Курс по Excel. от ВПР до Power Query,https://stepik.org/course/114097,Дарите онлайн-курсы в подарок,2,49.36406635063795
Универсальные коллекции значений в 1С,https://stepik.org/course/116177,Курсы по 1С с промо-уроками,1,49.35985095307047
Подготовка к интенсиву по статистике для биологов и медиков,https://stepik.org/course/58264,R,13,49.26558333075196
Риторика - искусство говорить,https://stepik.org/course/82756,Выбирают компании,3,49.23873996115527
Common English Adjectives,https://stepik.org/course/3149,Английский на Stepik,67,49.23497463653608
